task,quantity,raw_param,var_raw,var_eff,var_eff_over_raw,feedback,time_pressure,frame
FullcrossNoTimelimited,alpha,alpha_a,0.6159649562098554,0.003894849826118332,0.006323167879685969,Full,No TP,Reject
FullcrossNoTimelimited,beta,beta_a,0.4824733779826179,0.051958556248519736,0.10769206886766641,Full,No TP,Reject
FullcrossNoTimelimited,gamma,gamma_a,0.1285624276515006,0.001907423844067423,0.014836557452368232,Full,No TP,Reject
FullcrossTimelimited,alpha,alpha_a,0.6460419038827432,0.013376016757455932,0.0207045652566272,Full,TP,Reject
FullcrossTimelimited,beta,beta_a,0.5026747723750402,0.13679353764515642,0.2721312967405021,Full,TP,Reject
FullcrossTimelimited,gamma,gamma_a,0.12990151518454568,0.002098764924517297,0.01615658540653409,Full,TP,Reject
FulltickNoTimelimited,alpha,alpha_a,0.6434966429695221,0.017844067815872503,0.027729853777524134,Full,No TP,Accept
FulltickNoTimelimited,beta,beta_a,0.521914363088149,0.3655911432219474,0.7004810924511781,Full,No TP,Accept
FulltickNoTimelimited,gamma,gamma_a,0.12903129411524975,0.0020534115805992945,0.015914058637319435,Full,No TP,Accept
FulltickTimelimited,alpha,alpha_a,0.5591371068197174,0.006211972184426668,0.011109926543347077,Full,TP,Accept
FulltickTimelimited,beta,beta_a,0.5116059251577737,0.10752798968424822,0.21017737363203476,Full,TP,Accept
FulltickTimelimited,gamma,gamma_a,0.1260303258151808,0.0022469111483045005,0.01782833721781787,Full,TP,Accept
PartialcrossNoTimelimited,alpha,alpha_a,0.5915817155752336,0.006185729387531205,0.010456255196319608,Partial,No TP,Reject
PartialcrossNoTimelimited,beta,beta_a,0.5073230417481465,0.8720919371476353,1.7190071520161179,Partial,No TP,Reject
PartialcrossNoTimelimited,gamma,gamma_a,0.1202935196947681,0.0033681353913884485,0.02799930869039937,Partial,No TP,Reject
PartialcrossTimelimited,alpha,alpha_a,0.6844451045529689,0.02110080464565478,0.03082906796365551,Partial,TP,Reject
PartialcrossTimelimited,beta,beta_a,0.5529373621659851,1.8352404096711967,3.3190747004002956,Partial,TP,Reject
PartialcrossTimelimited,gamma,gamma_a,0.1271215496852153,0.0033485811656609327,0.026341569733478357,Partial,TP,Reject
PartialtickNoTimelimited,alpha,alpha_a,0.5097199316678931,0.004170305586363871,0.008181562711738383,Partial,No TP,Accept
PartialtickNoTimelimited,beta,beta_a,0.5118074125981747,0.4707126436696041,0.9197065772846972,Partial,No TP,Accept
PartialtickNoTimelimited,gamma,gamma_a,0.1287645882069224,0.004273855316856837,0.03319123197123752,Partial,No TP,Accept
PartialtickTimelimited,alpha,alpha_a,0.5499175962223977,0.004324303342685646,0.00786354787042823,Partial,TP,Accept
PartialtickTimelimited,beta,beta_a,0.4962849497679124,0.39401720656353756,0.7939334181860637,Partial,TP,Accept
PartialtickTimelimited,gamma,gamma_a,0.12821469544852465,0.004292038585120599,0.033475402878789015,Partial,TP,Accept
