contrast,parameter,group,mean,q025,q17,q83,q975
Choice Frame: Accept - Reject,alpha,Accept,0.7306780242701518,0.6367882139527214,0.6913818150470049,0.7697919936713805,0.8021628026242995
Choice Frame: Accept - Reject,alpha,Reject,0.710870676522345,0.6045809871061141,0.6564827121605451,0.7711059989262972,0.8291756103751212
Choice Frame: Accept - Reject,beta,Accept,3.0985926250491707,2.5072345274122805,2.791077859824554,3.4045398858398475,3.797998397007694
Choice Frame: Accept - Reject,beta,Reject,1.8627483927069521,1.241781577727735,1.4946812138356946,2.213411485117552,2.6142291876193067
Choice Frame: Accept - Reject,gamma,Accept,-0.0011707475364086208,-0.09642586599472508,-0.047229943227960355,0.04374401989081273,0.092009102697707
Choice Frame: Accept - Reject,gamma,Reject,0.1073017219922227,0.014755642877073833,0.06347984779958891,0.1521095517696373,0.19662553223571927
Feedback: Full - Partial,alpha,Full Feedback,0.7860299264794469,0.6832686466329856,0.7447155036106782,0.829032577285641,0.8615855167684425
Feedback: Full - Partial,alpha,Partial Feedback,0.6555187743130501,0.5573194733304987,0.6025962113698882,0.7138450666963643,0.7679711392242683
Feedback: Full - Partial,beta,Full Feedback,1.3203828959779529,0.9905635947457053,1.1388501276535878,1.492422669608107,1.7924732151253868
Feedback: Full - Partial,beta,Partial Feedback,3.64095812177817,2.8625127129037584,3.2094835321871935,4.071942639276928,4.538151257698579
Feedback: Full - Partial,gamma,Full Feedback,0.01691873175863136,-0.07381233473108204,-0.02706561013467549,0.061136286366422106,0.10497327745986558
Feedback: Full - Partial,gamma,Partial Feedback,0.08921224269718271,-0.008311719418596441,0.041140082451575945,0.1360957040253461,0.1874254124438365
Full only: Accept - Reject,alpha,Accept,0.7746793074469835,0.6051019794358296,0.7120923588048769,0.8382395995374496,0.8816010876670424
Full only: Accept - Reject,alpha,Reject,0.7973805455119102,0.6695884267666635,0.7452989839212338,0.851626758049797,0.8959344331848443
Full only: Accept - Reject,beta,Accept,1.5412685255484277,1.0221870324968696,1.2391193837741543,1.8213674152581865,2.425295211927043
Full only: Accept - Reject,beta,Reject,1.0994972664074782,0.7523585017987947,0.9066984415046007,1.2800145047101958,1.5493397885431852
Full only: Accept - Reject,gamma,Accept,0.02016566859700135,-0.1087101420573783,-0.04327745372461081,0.0819389419470818,0.14852021807913868
Full only: Accept - Reject,gamma,Reject,0.013671794920261366,-0.11299490409758496,-0.04562613387904347,0.07419954899980352,0.13631239577466547
Full only: TP - No TP,alpha,TP,0.7827025648514504,0.6496769059361501,0.7288439293120065,0.8375274869702626,0.88710080218602
Full only: TP - No TP,alpha,No TP,0.7893572881074434,0.616953802602727,0.7301314119745879,0.8507103516744416,0.8938125398401396
Full only: TP - No TP,beta,TP,1.2577877480948423,0.8491103991681378,1.0390116085147407,1.4662621663527757,1.774199777151396
Full only: TP - No TP,beta,No TP,1.3829780438610635,0.9007583384088199,1.1038142240690534,1.639235516199114,2.247041025936445
Full only: TP - No TP,gamma,TP,0.09251414433751849,-0.0399436370160398,0.026943735094468364,0.1573645642777912,0.22356110175139612
Full only: TP - No TP,gamma,No TP,-0.058676680820255775,-0.17706466601408374,-0.11907969600364134,-0.0012328802836369453,0.0619568406287071
Partial only: Accept - Reject,alpha,Accept,0.6866767410933202,0.5919924696326154,0.6427869443851818,0.7296965295881346,0.7739196612950889
Partial only: Accept - Reject,alpha,Reject,0.6243608075327799,0.46040313468909905,0.5267721802468268,0.7375163861382497,0.8319626017371335
Partial only: Accept - Reject,beta,Accept,4.655916724549914,3.6432950199652763,4.12177801286495,5.185419303329002,5.806072821536358
Partial only: Accept - Reject,beta,Reject,2.625999519006426,1.4613274373464993,1.9210581575698304,3.3153571762141794,4.065708730990819
Partial only: Accept - Reject,gamma,Accept,-0.022507163669818593,-0.1621751558597815,-0.09186307834534561,0.0456399943546123,0.11647686600767863
Partial only: Accept - Reject,gamma,Reject,0.200931649064184,0.061952299004905495,0.13528046466442087,0.267578152822519,0.3360049199051631
Partial only: TP - No TP,alpha,TP,0.6002801890834517,0.4400185336408064,0.5028106166275114,0.7133168180385429,0.8064076659249646
Partial only: TP - No TP,alpha,No TP,0.7107573595426484,0.6150939342295983,0.6661371375742728,0.7554644491699186,0.8003367184104839
Partial only: TP - No TP,beta,TP,3.9473411217057217,2.629623441778453,3.209994465968688,4.666152790700047,5.486927424842495
Partial only: TP - No TP,beta,No TP,3.3345751218506186,2.4801073913402436,2.8835858033565915,3.770362965106982,4.334586354601429
Partial only: TP - No TP,gamma,TP,0.16985113570513893,0.02779271538615877,0.10294222051807221,0.23466044062601177,0.30459849852024734
Partial only: TP - No TP,gamma,No TP,0.008573349689226496,-0.12984986297787418,-0.06000790279249861,0.07679637471675152,0.15352175625219083
Time Pressure: TP - No TP,alpha,TP,0.691491376967451,0.5827143765605252,0.6362607836739841,0.7521200426799229,0.8097517034959005
Time Pressure: TP - No TP,alpha,No TP,0.7500573238250459,0.6574797861852608,0.7115189673623339,0.7888985349924551,0.8199113029278815
Time Pressure: TP - No TP,beta,TP,2.602564434900282,1.894704747494448,2.212162272222182,2.9825135827424822,3.3971669686499264
Time Pressure: TP - No TP,beta,No TP,2.358776582855841,1.8577785082958354,2.085157326078928,2.6221609999417903,2.9914615821941712
Time Pressure: TP - No TP,gamma,TP,0.1311826400213287,0.03542705879468584,0.0841131385181458,0.17699669839997073,0.22681010830661252
Time Pressure: TP - No TP,gamma,No TP,-0.02505166556551464,-0.11589131417361744,-0.07036863171446739,0.020067135655431327,0.07101851514735276
