changed_factor,contrast_label,fixed_context,task_plus,task_minus,diff_mean_alpha,diff_mean_beta,diff_mean_gamma,diff_hdi95_lo_alpha,diff_hdi95_lo_beta,diff_hdi95_lo_gamma,diff_hdi95_hi_alpha,diff_hdi95_hi_beta,diff_hdi95_hi_gamma,hdi95_crosses_zero_alpha,hdi95_crosses_zero_beta,hdi95_crosses_zero_gamma,posterior_tail_p_alpha,posterior_tail_p_beta,posterior_tail_p_gamma
Choice Frame,Accept - Reject,"Feedback=Full, TP=No TP",FulltickNoTimelimited,FullcrossNoTimelimited,0.7166972877438683,-0.03233098424051352,-0.04583556237022881,0.10812088671736834,-0.5658147827143275,-0.10910137795009268,1.3193712020232629,0.4936036058059427,0.01372057573732049,FALSE,TRUE,TRUE,0.0165,0.9145,0.1465
Choice Frame,Accept - Reject,"Feedback=Full, TP=TP",FulltickTimelimited,FullcrossTimelimited,0.7166972877438683,-0.03233098424051352,-0.04583556237022881,0.10812088671736834,-0.5658147827143273,-0.10910137795009268,1.3193712020232629,0.4936036058059427,0.01372057573732051,FALSE,TRUE,TRUE,0.0165,0.9145,0.1465
Choice Frame,Accept - Reject,"Feedback=Partial, TP=No TP",PartialtickNoTimelimited,PartialcrossNoTimelimited,0.7166972877438683,-0.03233098424051352,-0.04583556237022881,0.10812088671736834,-0.5658147827143271,-0.10910137795009266,1.3193712020232633,0.4936036058059427,0.01372057573732051,FALSE,TRUE,TRUE,0.0165,0.9145,0.1465
Choice Frame,Accept - Reject,"Feedback=Partial, TP=TP",PartialtickTimelimited,PartialcrossTimelimited,0.7166972877438683,-0.03233098424051352,-0.04583556237022881,0.10812088671736834,-0.5658147827143271,-0.10910137795009266,1.3193712020232629,0.4936036058059427,0.01372057573732051,FALSE,TRUE,TRUE,0.0165,0.9145,0.1465
Feedback,Full - Partial,"TP=No TP, Frame=Accept",FulltickNoTimelimited,PartialtickNoTimelimited,-1.030800807128364,-1.2278147514548208,-0.35150409854203735,-1.7491619893177064,-2.109105654470711,-0.5439780207739655,-0.283590714289752,-0.34573563226735504,-0.15640833066163118,FALSE,FALSE,FALSE,0.0085,0.008,5e-4
Feedback,Full - Partial,"TP=No TP, Frame=Reject",FullcrossNoTimelimited,PartialcrossNoTimelimited,-1.030800807128364,-1.2278147514548208,-0.35150409854203735,-1.749161989317706,-2.109105654470711,-0.5439780207739655,-0.283590714289752,-0.34573563226735504,-0.15640833066163118,FALSE,FALSE,FALSE,0.0085,0.008,5e-4
Feedback,Full - Partial,"TP=TP, Frame=Accept",FulltickTimelimited,PartialtickTimelimited,-1.030800807128364,-1.2278147514548208,-0.35150409854203735,-1.749161989317706,-2.109105654470711,-0.5439780207739655,-0.283590714289752,-0.34573563226735504,-0.1564083306616312,FALSE,FALSE,FALSE,0.0085,0.008,5e-4
Feedback,Full - Partial,"TP=TP, Frame=Reject",FullcrossTimelimited,PartialcrossTimelimited,-1.030800807128364,-1.2278147514548208,-0.35150409854203735,-1.749161989317706,-2.109105654470711,-0.5439780207739656,-0.283590714289752,-0.34573563226735504,-0.15640833066163115,FALSE,FALSE,FALSE,0.0085,0.008,5e-4
Time Pressure,TP - No TP,"Feedback=Full, Frame=Accept",FulltickTimelimited,FulltickNoTimelimited,-0.30091320923337905,0.10283118704971608,0.14107103959235562,-0.9102904460394172,-0.4365118304184292,0.08177783102263034,0.3123198551726652,0.6393894099608232,0.19991120761738343,TRUE,TRUE,FALSE,0.3335,0.7235,0
Time Pressure,TP - No TP,"Feedback=Full, Frame=Reject",FullcrossTimelimited,FullcrossNoTimelimited,-0.30091320923337905,0.10283118704971608,0.14107103959235562,-0.9102904460394172,-0.4365118304184292,0.08177783102263034,0.3123198551726652,0.6393894099608232,0.19991120761738343,TRUE,TRUE,FALSE,0.3335,0.7235,0
Time Pressure,TP - No TP,"Feedback=Partial, Frame=Accept",PartialtickTimelimited,PartialtickNoTimelimited,-0.30091320923337905,0.10283118704971608,0.14107103959235562,-0.9102904460394172,-0.4365118304184296,0.08177783102263031,0.3123198551726652,0.6393894099608236,0.19991120761738343,TRUE,TRUE,FALSE,0.3335,0.7235,0
Time Pressure,TP - No TP,"Feedback=Partial, Frame=Reject",PartialcrossTimelimited,PartialcrossNoTimelimited,-0.30091320923337905,0.10283118704971608,0.14107103959235562,-0.9102904460394172,-0.4365118304184296,0.08177783102263031,0.3123198551726652,0.6393894099608236,0.1999112076173834,TRUE,TRUE,FALSE,0.3335,0.7235,0
