changed_factor,contrast_label,fixed_context,task_plus,task_minus,diff_mean_beta_value,diff_mean_gamma,diff_mean_rho_risky,diff_mean_cf_contrib,diff_hdi95_lo_beta_value,diff_hdi95_lo_gamma,diff_hdi95_lo_rho_risky,diff_hdi95_lo_cf_contrib,diff_hdi95_hi_beta_value,diff_hdi95_hi_gamma,diff_hdi95_hi_rho_risky,diff_hdi95_hi_cf_contrib,hdi95_crosses_zero_beta_value,hdi95_crosses_zero_gamma,hdi95_crosses_zero_rho_risky,hdi95_crosses_zero_cf_contrib,posterior_tail_p_beta_value,posterior_tail_p_gamma,posterior_tail_p_rho_risky,posterior_tail_p_cf_contrib
Choice Frame,Accept - Reject,"Feedback=Full, TP=No TP",FulltickNoTimelimited,FullcrossNoTimelimited,-0.4350517279107421,-0.0170697160357738,-0.0024105839432205043,0,-0.9979238274915291,-0.13005119819169278,-0.05078634429484906,0,0.12402229751263993,0.0974816648695952,0.047651845927790516,0,TRUE,TRUE,TRUE,TRUE,0.117,0.768,0.906,0
Choice Frame,Accept - Reject,"Feedback=Full, TP=TP",FulltickTimelimited,FullcrossTimelimited,1.1600125826819,0.008701893898855029,0.01408106823297025,0,0.5846404049787933,-0.10364053660371073,-0.0354333056001291,0,1.7368957708838149,0.12466634826741455,0.07029437254333819,0,FALSE,TRUE,TRUE,TRUE,0,0.875,0.6365000000000001,0
Choice Frame,Accept - Reject,"Feedback=Partial, TP=No TP",PartialtickNoTimelimited,PartialcrossNoTimelimited,1.5997315702537949,-0.1762476516345466,-0.02020217822722015,0,0.49026426296444603,-0.32468640697180057,-0.08610771027602893,0,2.724557161463056,-0.03005141681596676,0.03650164808712862,0,FALSE,FALSE,TRUE,TRUE,0.0035000000000000586,0.0175,0.515,0
Choice Frame,Accept - Reject,"Feedback=Partial, TP=TP",PartialtickTimelimited,PartialcrossTimelimited,3.7440402979680028,-0.3607807489594358,-0.029275454430269552,0,2.6301600078217495,-0.5158542379425168,-0.09728853565844972,0,4.940755323161006,-0.20416824149061732,0.028453917248264706,0,FALSE,FALSE,TRUE,TRUE,0,0,0.3675,0
Time Pressure,TP - No TP,"Feedback=Full, Frame=Accept",FulltickTimelimited,FulltickNoTimelimited,0.6258607261959549,0.16016356038386245,0.016323231907763094,0,0.07181474738369031,0.048442618457898365,-0.02700504486838507,0,1.1686243920124475,0.273596815855581,0.06837550817968288,0,FALSE,FALSE,TRUE,TRUE,0.028000000000000025,0.006999999999999895,0.498,0
Time Pressure,TP - No TP,"Feedback=Full, Frame=Reject",FullcrossTimelimited,FullcrossNoTimelimited,-0.9692035843966874,0.13439195044923363,-1.6842026842765913e-4,0,-1.5151554444400501,0.023908999419261553,-0.04725639463378137,0,-0.4482586492911139,0.24539981756557605,0.0445733437438369,0,FALSE,FALSE,TRUE,TRUE,0.001,0.02200000000000002,0.9815,0
Time Pressure,TP - No TP,"Feedback=Partial, Frame=Accept",PartialtickTimelimited,PartialtickNoTimelimited,0.6788963686429244,0.06844986040249469,0.007897621020320718,0,-0.4250283754883959,-0.08344647496588267,-0.0457363975455049,0,1.7919516363006647,0.22124411001345548,0.0691317299421421,0,TRUE,TRUE,TRUE,TRUE,0.23449999999999993,0.375,0.7825,0
Time Pressure,TP - No TP,"Feedback=Partial, Frame=Reject",PartialcrossTimelimited,PartialcrossNoTimelimited,-1.4654123590712838,0.25298295772738394,0.01697089722337012,0,-2.381685399299227,0.1177910498046659,-0.03250101093104298,0,-0.5317077248445796,0.3894212550687126,0.07782383481540975,0,FALSE,FALSE,TRUE,TRUE,0.0025,0,0.5469999999999999,0
Feedback,Full - Partial,"TP=No TP, Frame=Accept",FulltickNoTimelimited,PartialtickNoTimelimited,-3.7178465186725105,-0.04797969606251856,0.0540296523217947,0.7839638567326551,-4.8887226280258576,-0.17927179796431217,0.0033372809771133344,0.6664983137167253,-2.6771060920198466,0.08011781152371836,0.11890601976096928,0.8920069197753693,FALSE,TRUE,FALSE,FALSE,0,0.4985,0.03649999999999998,0
Feedback,Full - Partial,"TP=No TP, Frame=Reject",FullcrossNoTimelimited,PartialcrossNoTimelimited,-1.6830632205079736,-0.20715763166129136,0.036238058037795055,0.7839638567326551,-2.617475379278408,-0.34052909225730726,-0.012847588571977531,0.6664983137167253,-0.7689193188968974,-0.07785783861626057,0.0929990185336469,0.8920069197753693,FALSE,FALSE,TRUE,FALSE,5e-4,0.0025,0.15500000000000003,0
Feedback,Full - Partial,"TP=TP, Frame=Accept",FulltickTimelimited,PartialtickTimelimited,-3.7708821611194803,0.04373400391884919,0.062455263209237076,0.7839638567326551,-4.982173681288398,-0.09868051831833011,0.008522835636845019,0.6664983137167253,-2.617830477570658,0.1829023694811959,0.13477078137959503,0.8920069197753693,FALSE,TRUE,FALSE,FALSE,0,0.5365,0.016000000000000014,0
Feedback,Full - Partial,"TP=TP, Frame=Reject",FullcrossTimelimited,PartialcrossTimelimited,-1.1868544458333772,-0.32574863893944167,0.019098740545997275,0.7839638567326551,-2.018767045116466,-0.44814051463396587,-0.0342081044596763,0.6664983137167253,-0.4263611948678039,-0.20242158877286234,0.06845435645304135,0.8920069197753693,FALSE,FALSE,TRUE,FALSE,0.0025,0,0.4305000000000001,0
