"term","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.0943324710905687,0.0912387920515206,1.03390749668519,0.301179410020778
"Blocks2",-0.0626894546978669,0.111962685040132,-0.559913820174966,0.575538221649233
"Blocks3",0.0817754165726249,0.112160008275135,0.729096028345726,0.465942923913487
"Blocks4",-0.169188137384478,0.11199620269996,-1.51065958760885,0.130875203709227
"Time_PressureYes",-0.0940040177223127,0.111952429643472,-0.83967822781231,0.401088824584505
"Choice_FrameReject",-0.078476701763987,0.125839984111619,-0.623622947173759,0.532875236828633
"Feedback_TypePartial",-0.492585214906497,0.13580906258033,-3.62704230150427,0.000286686341075101
"Blocks2:Time_PressureYes",0.119070326023581,0.158305714544614,0.75215431335566,0.451958264606904
"Blocks3:Time_PressureYes",-0.00658673160544882,0.158457279445123,-0.0415678700815379,0.966843187053561
"Blocks4:Time_PressureYes",0.26946897694673,0.158361478801566,1.70160684900137,0.0888290927523475
"Blocks2:Choice_FrameReject",0.062690955422821,0.158517460420514,0.395482966081559,0.692486490305117
"Blocks3:Choice_FrameReject",-0.0124453625015552,0.158685715376293,-0.0784277429889855,0.937487805778685
"Blocks4:Choice_FrameReject",0.200689218371949,0.158550389135769,1.26577562796201,0.205593423105787
"Time_PressureYes:Choice_FrameReject",0.0814064531637809,0.158507581730818,0.513580815976536,0.607545094923484
"Blocks2:Feedback_TypePartial",-0.0544701346773485,0.167772935408317,-0.324665802292736,0.745434019505775
"Blocks3:Feedback_TypePartial",-0.191034609739753,0.167866714789385,-1.13801363170439,0.255114790246992
"Blocks4:Feedback_TypePartial",-0.100857918170598,0.168703525284934,-0.597841201007821,0.549945896436349
"Time_PressureYes:Feedback_TypePartial",0.00835097345370834,0.167610817743066,0.0498235947187474,0.960262964163942
"Choice_FrameReject:Feedback_TypePartial",0.363304209710582,0.186468900305413,1.94833674202795,0.0513746835250153
"Blocks2:Time_PressureYes:Choice_FrameReject",-0.0812739272711241,0.224152606774828,-0.362583011817336,0.716916402504191
"Blocks3:Time_PressureYes:Choice_FrameReject",0.0507413312439251,0.224317827206262,0.226202847432487,0.821043656074645
"Blocks4:Time_PressureYes:Choice_FrameReject",-0.319870773026103,0.224199326849433,-1.42672494838007,0.153659191539874
"Blocks2:Time_PressureYes:Feedback_TypePartial",-0.0890779469019367,0.237707779932497,-0.374737195927002,0.707855926350038
"Blocks3:Time_PressureYes:Feedback_TypePartial",0.0366712139829463,0.237751125198695,0.154242020736176,0.877418910845833
"Blocks4:Time_PressureYes:Feedback_TypePartial",-0.28375554241857,0.23933114816271,-1.18561894093976,0.235772818773002
"Blocks2:Choice_FrameReject:Feedback_TypePartial",-0.245995677452529,0.236240379097462,-1.0412939497995,0.29773914381648
"Blocks3:Choice_FrameReject:Feedback_TypePartial",-0.201815640218745,0.236399213892619,-0.853706900693916,0.393267409660513
"Blocks4:Choice_FrameReject:Feedback_TypePartial",-0.331784698214825,0.237247566668973,-1.39847460976389,0.161970592009254
"Time_PressureYes:Choice_FrameReject:Feedback_TypePartial",0.0264589274402736,0.235556128540679,0.112325362130005,0.910565432980867
"Blocks2:Time_PressureYes:Choice_FrameReject:Feedback_TypePartial",0.299875445601204,0.334020514097855,0.897775534568971,0.369305230377022
"Blocks3:Time_PressureYes:Choice_FrameReject:Feedback_TypePartial",0.220482751501158,0.334126780073453,0.659877521498539,0.50933243035504
"Blocks4:Time_PressureYes:Choice_FrameReject:Feedback_TypePartial",0.571639881083818,0.335526311283313,1.70371104101322,0.0884350844085321
