"Variable","Level","N","Mean_Risky_Chance","SE_Risky_Chance","Mean_Risky_Percent","SE_Risky_Percent"
"Blocks","1",484,0.474173553719008,0.00829551917640914,47.4173553719008,0.829551917640914
"Blocks","2",484,0.460123966942149,0.00836566778300273,46.0123966942149,0.836566778300273
"Blocks","3",484,0.470867768595041,0.00940981114046323,47.0867768595041,0.940981114046323
"Blocks","4",484,0.442561983471074,0.009305582954269,44.2561983471074,0.9305582954269
"Time_Pressure","No",968,0.457954545454545,0.00612517651968784,45.7954545454545,0.612517651968784
"Time_Pressure","Yes",968,0.465909090909091,0.00641618335052143,46.5909090909091,0.641618335052143
"Choice_Frame","Accept",968,0.447727272727273,0.00634923295097108,44.7727272727273,0.634923295097108
"Choice_Frame","Reject",968,0.476136363636364,0.00616342800268905,47.6136363636364,0.616342800268905
"Feedback_Type","Full",1040,0.511346153846154,0.00468387993005876,51.1346153846154,0.468387993005876
"Feedback_Type","Partial",896,0.404575892857143,0.00744854981875942,40.4575892857143,0.744854981875942
